word,counts,test_or_train
would,67,TRAIN
such,18,TRAIN
an,571,TRAIN
act,2,TRAIN
of,454,TRAIN
refusal,1,TRAIN
be,175,TRAIN
useful,3,TRAIN
soil,2,TRAIN
redeposition,2,TRAIN
is,399,TRAIN
evaluated,1,TRAIN
by,129,TRAIN
washing,1,TRAIN
clean,2,TRAIN
swatches,1,TRAIN
with,187,TRAIN
the,1602,TRAIN
dirty,1,TRAIN
ones,2,TRAIN
pledge,7,TRAIN
to,1018,TRAIN
participate,14,TRAIN
in,944,TRAIN
nevada's,7,TRAIN
aquatic,7,TRAIN
competition,7,TRAIN
ambidextrous,7,TRAIN
pickpockets,7,TRAIN
accomplish,7,TRAIN
more,47,TRAIN
butterscotch,7,TRAIN
fudge,7,TRAIN
goes,11,TRAIN
well,17,TRAIN
vanilla,7,TRAIN
ice,22,TRAIN
cream,22,TRAIN
we'll,14,TRAIN
talk,10,TRAIN
over,28,TRAIN
at,72,TRAIN
your,565,TRAIN
office,1,TRAIN
groundhog,7,TRAIN
clearly,9,TRAIN
saw,50,TRAIN
his,189,TRAIN
"shadow,",7,TRAIN
but,102,TRAIN
stayed,9,TRAIN
out,54,TRAIN
only,41,TRAIN
a,866,TRAIN
moment,10,TRAIN
she,571,TRAIN
had,526,TRAIN
dark,465,TRAIN
suit,462,TRAIN
greasy,462,TRAIN
wash,469,TRAIN
water,479,TRAIN
all,543,TRAIN
year,472,TRAIN
i,99,TRAIN
honor,18,TRAIN
my,83,TRAIN
mom,7,TRAIN
don't,488,TRAIN
ask,464,TRAIN
me,505,TRAIN
carry,463,TRAIN
oily,470,TRAIN
rag,470,TRAIN
like,511,TRAIN
that,611,TRAIN
get,50,TRAIN
calico,7,TRAIN
cat,8,TRAIN
keep,34,TRAIN
add,19,TRAIN
few,7,TRAIN
caraway,1,TRAIN
"seeds,",2,TRAIN
"too,",1,TRAIN
if,50,TRAIN
you'd,3,TRAIN
dead,2,TRAIN
spirits,1,TRAIN
occupied,1,TRAIN
prominent,1,TRAIN
place,22,TRAIN
every,65,TRAIN
hope,6,TRAIN
and,481,TRAIN
fear,2,TRAIN
"coyote,",7,TRAIN
"bobcat,",7,TRAIN
hyena,7,TRAIN
are,237,TRAIN
wild,8,TRAIN
animals,8,TRAIN
amoebas,7,TRAIN
change,11,TRAIN
shape,7,TRAIN
constantly,8,TRAIN
jeff's,7,TRAIN
toy,7,TRAIN
go-cart,7,TRAIN
never,54,TRAIN
worked,15,TRAIN
he,233,TRAIN
picked,8,TRAIN
up,65,TRAIN
nine,9,TRAIN
pairs,7,TRAIN
socks,7,TRAIN
for,216,TRAIN
each,59,TRAIN
brother,21,TRAIN
there,38,TRAIN
little,8,TRAIN
doubt,1,TRAIN
students,12,TRAIN
benefit,1,TRAIN
from,125,TRAIN
vocational,1,TRAIN
education,8,TRAIN
curiosity,17,TRAIN
mediocrity,7,TRAIN
seldom,28,TRAIN
coexist,7,TRAIN
official,7,TRAIN
deadline,7,TRAIN
cannot,9,TRAIN
postponed,14,TRAIN
within,5,TRAIN
"system,",1,TRAIN
"however,",14,TRAIN
autonomy,1,TRAIN
member,1,TRAIN
library,2,TRAIN
preserved,1,TRAIN
stag,7,TRAIN
surely,8,TRAIN
finds,8,TRAIN
big,49,TRAIN
fawn,7,TRAIN
know,21,TRAIN
didn't,28,TRAIN
meet,8,TRAIN
her,127,TRAIN
early,22,TRAIN
enough,23,TRAIN
do,92,TRAIN
they,141,TRAIN
allow,35,TRAIN
atheists,8,TRAIN
church,14,TRAIN
"incomplete,",1,TRAIN
imperfect,1,TRAIN
things,10,TRAIN
move,11,TRAIN
towards,3,TRAIN
what,46,TRAIN
lack,8,TRAIN
was,235,TRAIN
"grunt,",1,TRAIN
curiously,2,TRAIN
"inarticulate,",1,TRAIN
animal,2,TRAIN
pain,3,TRAIN
irate,7,TRAIN
actor,7,TRAIN
stomped,7,TRAIN
away,19,TRAIN
idiotically,7,TRAIN
"was,",1,TRAIN
"thus,",1,TRAIN
spectacular,1,TRAIN
victim,1,TRAIN
injected,1,TRAIN
vitality,1,TRAIN
into,51,TRAIN
score,2,TRAIN
than,27,TRAIN
it,153,TRAIN
has,55,TRAIN
revealed,1,TRAIN
many,50,TRAIN
years,6,TRAIN
please,28,TRAIN
sing,8,TRAIN
just,33,TRAIN
club,10,TRAIN
theme,7,TRAIN
barracuda,7,TRAIN
recoiled,7,TRAIN
serpent's,7,TRAIN
poisonous,8,TRAIN
fangs,7,TRAIN
biologists,7,TRAIN
use,34,TRAIN
radioactive,7,TRAIN
isotopes,7,TRAIN
study,9,TRAIN
microorganisms,8,TRAIN
gently,14,TRAIN
jim's,7,TRAIN
foam,7,TRAIN
sculpture,14,TRAIN
box,14,TRAIN
voice,9,TRAIN
spoke,3,TRAIN
near-at-hand,1,TRAIN
gave,15,TRAIN
them,38,TRAIN
several,18,TRAIN
choices,8,TRAIN
let,17,TRAIN
set,13,TRAIN
priorities,7,TRAIN
sharp,4,TRAIN
tongue,8,TRAIN
she'd,7,TRAIN
have,124,TRAIN
cut,14,TRAIN
pompousness,1,TRAIN
ribbons,1,TRAIN
tofu,7,TRAIN
made,44,TRAIN
processed,7,TRAIN
soybeans,7,TRAIN
suddenly,4,TRAIN
reflexes,1,TRAIN
gone,8,TRAIN
it's,43,TRAIN
fun,7,TRAIN
roast,7,TRAIN
marshmallows,7,TRAIN
on,164,TRAIN
gas,25,TRAIN
burner,7,TRAIN
encyclopedias,7,TRAIN
present,18,TRAIN
anecdotal,7,TRAIN
evidence,11,TRAIN
young,23,TRAIN
mouse,7,TRAIN
scampered,7,TRAIN
across,13,TRAIN
field,8,TRAIN
disappeared,14,TRAIN
will,99,TRAIN
say,10,TRAIN
our,60,TRAIN
country,2,TRAIN
even,20,TRAIN
now,57,TRAIN
homogeneous,1,TRAIN
community,3,TRAIN
touched,2,TRAIN
off,23,TRAIN
total,3,TRAIN
stampede,1,TRAIN
maybe,15,TRAIN
"twenty,",1,TRAIN
"thirty,",1,TRAIN
fifty,2,TRAIN
praises,1,TRAIN
individuals,1,TRAIN
generously,1,TRAIN
tornados,7,TRAIN
often,53,TRAIN
destroy,9,TRAIN
acres,7,TRAIN
farm,10,TRAIN
land,7,TRAIN
you,271,TRAIN
describe,7,TRAIN
idiotic,7,TRAIN
predicament,7,TRAIN
how,59,TRAIN
evaluate,7,TRAIN
this,149,TRAIN
algebraic,7,TRAIN
expression,7,TRAIN
preschooler,7,TRAIN
couldn't,9,TRAIN
verbalize,7,TRAIN
feelings,8,TRAIN
